student_id,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,attendance_percentage,average_score,performance_level
1,Male,Group C,Bachelor's degree,Standard,,35.0,46.0,96.0,82.2,59.0,Medium
2,Female,Group A,High school,Standard,,75.0,45.0,17.0,65.86,45.666666666666664,Low
3,Male,Group E,Master's degree,Standard,,49.0,86.0,75.0,67.83,70.0,Medium
4,Male,Group C,High school,Free/Reduced,,60.0,3.0,50.0,75.72,37.666666666666664,Low
5,Male,Group B,Master's degree,Free/Reduced,,39.0,9.0,22.0,64.03,23.333333333333332,Low
6,Female,Group C,High school,Free/Reduced,Completed,2.0,74.0,24.0,66.93,33.333333333333336,Low
7,Male,Group C,Some college,Standard,Completed,81.0,39.0,59.0,73.96,59.666666666666664,Medium
8,Male,Group B,Master's degree,Free/Reduced,,6.0,54.0,36.0,73.19,32.0,Low
9,Male,Group D,Bachelor's degree,Free/Reduced,,30.0,72.0,67.0,89.97,56.333333333333336,Medium
10,Female,Group D,Master's degree,Free/Reduced,Completed,64.0,39.0,76.0,62.99,59.666666666666664,Medium
11,Male,Group A,Master's degree,Free/Reduced,,94.0,75.0,17.0,94.42,62.0,Medium
12,Male,Group A,Bachelor's degree,Free/Reduced,,49.0,80.0,28.0,92.65,52.333333333333336,Medium
13,Male,Group D,Bachelor's degree,Free/Reduced,,76.0,95.0,29.0,90.64,66.66666666666667,Medium
14,Male,Group E,Some college,Standard,,92.0,22.0,91.0,72.37,68.33333333333333,Medium
15,Female,Group C,Bachelor's degree,Standard,,2.0,14.0,6.0,92.92,7.333333333333333,Low
16,Male,Group E,Associate degree,Free/Reduced,Completed,92.0,91.0,87.0,67.31,90.0,High
17,Female,Group C,Associate degree,Standard,,34.0,4.0,40.0,64.98,26.0,Low
18,Female,Group D,Some college,Standard,,14.0,39.0,73.0,61.8,42.0,Low
19,Female,Group A,High school,Free/Reduced,,20.0,17.0,36.0,97.57,24.333333333333332,Low
20,Male,Group A,Master's degree,Standard,Completed,61.0,20.0,26.0,72.32,35.666666666666664,Low
21,Female,Group E,Associate degree,Free/Reduced,Completed,82.0,78.0,20.0,96.7,60.0,Medium
22,Male,Group A,Bachelor's degree,Standard,,27.0,2.0,99.0,70.9,42.666666666666664,Low
23,Female,Group D,Some college,Free/Reduced,,3.0,45.0,42.0,96.3,30.0,Low
24,Female,Group E,High school,Standard,,12.0,89.0,50.0,96.16,50.333333333333336,Medium
25,Female,Group C,High school,Standard,,78.0,78.0,92.0,96.95,82.66666666666667,High
26,Female,Group A,Master's degree,Standard,Completed,50.0,52.0,70.0,79.85,57.333333333333336,Medium
27,Female,Group B,Associate degree,Standard,Completed,47.0,19.0,12.0,94.64,26.0,Low
28,Female,Group A,Bachelor's degree,Free/Reduced,,38.0,58.0,52.0,98.03,49.333333333333336,Low
29,Female,Group C,Some college,Standard,,95.0,20.0,86.0,72.98,67.0,Medium
30,Female,Group E,High school,Free/Reduced,Completed,66.0,89.0,62.0,76.75,72.33333333333333,Medium
31,Male,Group C,Master's degree,Free/Reduced,Completed,93.0,86.0,50.0,88.77,76.33333333333333,High
32,Male,Group B,Associate degree,Standard,,57.0,50.0,24.0,72.01,43.666666666666664,Low
